Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A2 Planung der Kabelführung,Basis,Ja,Die IT- und Stromverkabelung ist getrennt ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A3 Fachgerechte Installation,Basis,Ja,Die elektrotechnischen Verkabelung ist nach VDE 100 ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A4 Anforderungsanalyse für die elektrotechnische Verkabelung,Standard,Ja,Das Gebäudemanagement hat die Anforderungen an die bedarfsorientierte Ausstattung gemeinsam mit den Fachbereichen für die nächste Dekade geplant. Die Planung wird kontinuierlich fortgeschrieben.,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A5 Abnahme der elektrotechnischen Verkabelung,Standard,Ja,Abnahme durch Haustechnik erfolgt,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A6 überspannungsschutz,Standard,Ja,Überspannungsschutz für das Verwaltungsgebäude ist installiert (Blitzschlag),,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A7 Entfernen und Deaktivieren nicht mehr benötigter Leitungen,Standard,Entbehrlich,Für Leitungen im Verwaltungsbereich nicht erforderlich.,,
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A8 Brandschutz in Trassen,Standard,Ja,Kabeltrassen sind ausreichend dimensioniert.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A9 Dokumentation und Kennzeichnung der elektrotechnischen Verkabelung,Standard,Ja,Dokumentation der elektrotechnische Verkabelung liegt vor,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A10 Neutrale Dokumentation in den Verteilern,Standard,Ja,"In jedem Verteiler ist eine Aufstellung der Rangierungen und
Leitungsbelegungen hinterlegt",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A11 Kontrolle elektrotechnischer Anlagen und Verbindungen,Standard,Ja,Regelmäßige Stichprobenprüfung durch Elektrofachkraft,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A12 Vermeidung elektrischer Zündquellen,Standard,Ja,Die Nutzung privater Elektrogeräte ist untersagt. Regelmäßige Überprüfung der betrieblichen E-Geräte nach INF.3.A.11,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A13 Sekundär-Energieversorgung,Erhöht,Ja,Die Rechner an den Arbeitsplätzen im Verwaltungsgebäude sind an die unterbrechungsfreie Stromversorgung angeschlossen.,,IT-Betrieb
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A14 A-B-Versorgung,Erhöht,Ja,Die Rechner an den Arbeitsplätzen im Verwaltungsgebäude sind an die unterbrechungsfreie Stromversorgung angeschlossen.,,IT-Betrieb
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A15 Materielle Sicherung der elektrotechnischen Verkabelung,Erhöht,Entbehrlich,Die Bereiche sind grundsätzlich nicht für die Öffentlichkeit zugänglich. ,,
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A16 Nutzung von Schranksystemen,Erhöht,Entbehrlich,Der Einsatz von Schranksystemen ist bei Arbeitsplatzrechner nicht erforderlich.,,
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A17 Brandschott-Kataster,Erhöht,Entbehrlich,Kein Kataster notwendig,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A1 Auswahl geeigneter Kabeltypen,Basis,Ja,Die verlegten Kabel entsprechen den Vorgaben der einschlägigen Normen.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A2 Planung der Kabelführung,Basis,Ja,Die IT- und Stromverkabelung ist getrennt ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A3 Fachgerechte Installation,Basis,Ja,Die elektrotechnischen Verkabelung ist nach VDE 100 ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A4 Anforderungsanalyse für die elektrotechnische Verkabelung,Standard,Ja,Das Gebäudemanagement hat die Anforderungen an die bedarfsorientierte Ausstattung gemeinsam mit den Fachbereichen für die nächste Dekade geplant. Die Planung wird kontinuierlich fortgeschrieben.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A5 Abnahme der elektrotechnischen Verkabelung,Standard,Ja,Abnahme durch Haustechnik erfolgt,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A6 überspannungsschutz,Standard,Ja,"Überspannungsschutz für den Produktionsstandort ist installiert (Blitzschlag, fehlerhafte Schalthandlungen)",,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A7 Entfernen und Deaktivieren nicht mehr benötigter Leitungen,Standard,Ja,"Im Zuge von Baumaßnahmen (Aufbau, Umbau, Rückbau) werden die vorhandenen Leitungen auf Notwendigkeit hin geprüft.",Richtline zur IT- und Strom-Verkabelung ,Leiter Fertigung
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A8 Brandschutz in Trassen,Standard,Ja,Kabeltrassen sind ausreichend dimensioniert.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A9 Dokumentation und Kennzeichnung der elektrotechnischen Verkabelung,Standard,Ja,Dokumentation der elektrotechnische Verkabelung liegt vor,Richtline zur IT- und Strom-Verkabelung ,Leiter Fertigung
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A10 Neutrale Dokumentation in den Verteilern,Standard,Ja,"In jedem Verteiler ist eine Aufstellung der Rangierungen und
Leitungsbelegungen hinterlegt",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A11 Kontrolle elektrotechnischer Anlagen und Verbindungen,Standard,Ja,Regelmäßige Stichprobenprüfung durch Elektrofachkraft,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A12 Vermeidung elektrischer Zündquellen,Standard,Ja,Die Nutzung privater Elektrogeräte ist untersagt. Regelmäßige Überprüfung der betrieblichen E-Geräte nach INF.3.A.11,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A13 Sekundär-Energieversorgung,Erhöht,Ja,Die Produktionseinrichtungen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A14 A-B-Versorgung,Erhöht,Ja,Die Produktionseinrichtungen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A15 Materielle Sicherung der elektrotechnischen Verkabelung,Erhöht,Entbehrlich,Die Bereiche sind grundsätzlich nicht für die Öffentlichkeit zugänglich. ,,
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A16 Nutzung von Schranksystemen,Erhöht,Ja,Die verwendeten Hardwarekomponenten in der Produktion sind in entsprechenden Schränken untergebracht.,,IT-Betrieb
GB002 Produktionsgebäude Beuel,INF.3 Elektrotechnische Verkabelung,INF.3.A17 Brandschott-Kataster,Erhöht,Teilweise,Ein Kataster ist aktuell in Vorbereitung,,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A1 Auswahl geeigneter Kabeltypen,Basis,Ja,Die verlegten Kabel entsprechen den Vorgaben der einschlägigen Normen.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A2 Planung der Kabelführung,Basis,Ja,Die IT- und Stromverkabelung ist getrennt ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A3 Fachgerechte Installation,Basis,Ja,Die elektrotechnischen Verkabelung ist nach VDE 100 ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A4 Anforderungsanalyse für die elektrotechnische Verkabelung,Standard,Ja,Das Gebäudemanagement hat die Anforderungen an die bedarfsorientierte Ausstattung gemeinsam mit den Fachbereichen für die nächste Dekade geplant. Die Planung wird kontinuierlich fortgeschrieben.,,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A5 Abnahme der elektrotechnischen Verkabelung,Standard,Ja,Abnahme durch Haustechnik erfolgt,,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A6 überspannungsschutz,Standard,Ja,"Überspannungsschutz für das Serverräume ist installiert (Blitzschlag, fehlerhafte Schalthandlungen)",,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A7 Entfernen und Deaktivieren nicht mehr benötigter Leitungen,Standard,Teilweise,"Im Zuge von Baumaßnahmen (Aufbau, Umbau, Rückbau) werden die vorhandenen Leitungen auf Notwendigkeit hin geprüft.",Richtline zur IT- und Strom-Verkabelung ,Leiter Informationstechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A8 Brandschutz in Trassen,Standard,Ja,Kabeltrassen sind ausreichend dimensioniert.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A9 Dokumentation und Kennzeichnung der elektrotechnischen Verkabelung,Standard,Ja,Dokumentation der elektrotechnische Verkabelung liegt vor,Richtline zur IT- und Strom-Verkabelung ,Leiter Informationstechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A10 Neutrale Dokumentation in den Verteilern,Standard,Ja,"In jedem Verteiler ist eine Aufstellung der Rangierungen und
Leitungsbelegungen hinterlegt",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A11 Kontrolle elektrotechnischer Anlagen und Verbindungen,Standard,Ja,Regelmäßige Stichprobenprüfung durch Elektrofachkraft,,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A12 Vermeidung elektrischer Zündquellen,Standard,Ja,Die Nutzung privater Elektrogeräte ist untersagt. Regelmäßige Überprüfung der betrieblichen E-Geräte nach INF.3.A.11,,Leiter Haustechnik
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A13 Sekundär-Energieversorgung,Erhöht,Ja,Die Server den Serverräumen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A14 A-B-Versorgung,Erhöht,Ja,Die Server in den Serverräumen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A15 Materielle Sicherung der elektrotechnischen Verkabelung,Erhöht,Entbehrlich,Die Bereiche sind grundsätzlich nicht für die Öffentlichkeit zugänglich. ,,
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A16 Nutzung von Schranksystemen,Erhöht,Ja,Die Server sind in Serverschränken untergebracht.,,IT-Betrieb
R002 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A17 Brandschott-Kataster,Erhöht,Ja,Das Kataster wird regelmäßig aktualisiert,,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A1 Auswahl geeigneter Kabeltypen,Basis,Ja,Die verlegten Kabel entsprechen den Vorgaben der einschlägigen Normen.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A2 Planung der Kabelführung,Basis,Ja,Die IT- und Stromverkabelung ist getrennt ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A3 Fachgerechte Installation,Basis,Ja,Die elektrotechnischen Verkabelung ist nach VDE 100 ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A4 Anforderungsanalyse für die elektrotechnische Verkabelung,Standard,Ja,Das Gebäudemanagement hat die Anforderungen an die bedarfsorientierte Ausstattung gemeinsam mit den Fachbereichen für die nächste Dekade geplant. Die Planung wird kontinuierlich fortgeschrieben.,,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A5 Abnahme der elektrotechnischen Verkabelung,Standard,Ja,Abnahme durch Haustechnik erfolgt,,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A6 überspannungsschutz,Standard,Ja,"Überspannungsschutz für das Serverräume ist installiert (Blitzschlag, fehlerhafte Schalthandlungen)",,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A7 Entfernen und Deaktivieren nicht mehr benötigter Leitungen,Standard,Teilweise,"Im Zuge von Baumaßnahmen (Aufbau, Umbau, Rückbau) werden die vorhandenen Leitungen auf Notwendigkeit hin geprüft.",Richtline zur IT- und Strom-Verkabelung ,Leiter Informationstechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A8 Brandschutz in Trassen,Standard,Ja,Kabeltrassen sind ausreichend dimensioniert.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A9 Dokumentation und Kennzeichnung der elektrotechnischen Verkabelung,Standard,Ja,Dokumentation der elektrotechnische Verkabelung liegt vor,Richtline zur IT- und Strom-Verkabelung ,Leiter Informationstechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A10 Neutrale Dokumentation in den Verteilern,Standard,Ja,"In jedem Verteiler ist eine Aufstellung der Rangierungen und
Leitungsbelegungen hinterlegt",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A11 Kontrolle elektrotechnischer Anlagen und Verbindungen,Standard,Ja,Regelmäßige Stichprobenprüfung durch Elektrofachkraft,,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A12 Vermeidung elektrischer Zündquellen,Standard,Ja,Die Nutzung privater Elektrogeräte ist untersagt. Regelmäßige Überprüfung der betrieblichen E-Geräte nach INF.3.A.11,,Leiter Haustechnik
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A13 Sekundär-Energieversorgung,Erhöht,Ja,Die Server den Serverräumen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A14 A-B-Versorgung,Erhöht,Ja,Die Server in den Serverräumen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,IT-Betrieb
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A15 Materielle Sicherung der elektrotechnischen Verkabelung,Erhöht,Entbehrlich,Die Bereiche sind grundsätzlich nicht für die Öffentlichkeit zugänglich. ,,
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A16 Nutzung von Schranksystemen,Erhöht,Ja,Die Server sind in Serverschränken untergebracht.,,IT-Betrieb
R009 Serverraum,INF.3 Elektrotechnische Verkabelung,INF.3.A17 Brandschott-Kataster,Erhöht,Ja,Das Kataster wird regelmäßig aktualisiert,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A1 Auswahl geeigneter Kabeltypen,Basis,Ja,"Die Richtlinie zur IT- und Stromverkabelung legt fest welche Anforderungen bei Bau und Betrieb einzuhalten sind. Für die IT-Verkabelung sind bei der Auswahl der Kabel übertragungstechnische Anforderungen, Umgebungseinflüsse, erforderliche Datenraten, Leitungslängen, Temperatur, Kabelwege, Störquellen usw. zu planen.",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A2 Planung der Kabelführung,Basis,Ja,"Die Richtlinie zur IT- und Stromverkabelung legt fest welche Anforderungen bei Bau und Betrieb einzuhalten sind. Für die IT-Verkabelung und Kommunikationsleitungen sind bei der Auswahl der Kabel übertragungstechnische Anforderungen, Umgebungseinflüsse, erforderliche Datenraten, Leitungslängen, Temperatur, Kabelwege, Störquellen, das Verhindern von ""Mithören"" usw. zu planen.",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A3 Fachgerechte Installation,Basis,Ja,"Die Richtlinie zur IT- und Stromverkabelung legt fest welche Anforderungen bei Bau und Betrieb einzuhalten sind. Für die IT-Verkabelung und Kommunikationsleitungen sind bei der Auswahl der Kabel übertragungstechnische Anforderungen, Umgebungseinflüsse, erforderliche Datenraten, Leitungslängen, Temperatur, Kabelwege, Störquellen, das Verhindern von ""Mithören"" usw. zu planen.",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A4 Anforderungsanalyse für die IT-Verkabelung,Standard,Ja,Das Gebäudemanagement hat gemeinsam mit der IT und den Fachbereichen die Anforderungen an die bedarfsorientierte Ausstattung für die nächste Dekade geplant. Die Planung wird kontinuierlich fortgeschrieben.,,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A5 Abnahme der IT-Verkabelung,Standard,Teilweise,"Die Richtline zur IT- und Strom-Verkabelung sieht Abnahmeprozeduren bei Neubau, Umbau bzw. Rückbau vor. Ein entsprechendes Protokoll steht zur Verfügung. Dieses Protokoll wird aber nicht eingesetzt. ",Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A6 Laufende Fortschreibung und Revision der Netzdokumentation,Standard,Ja,Im datenbankbasierten Inventory-Management werden die Netzkomponenten kontinuierlich dokumentiert. ,Sicherheitsrichtlinie Netzwerk,IT-Betrieb
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A7 Entfernen und Deaktivieren nicht mehr benötigter IT-Verkabelung,Standard,Nein,"Die Richtline zur IT- und Strom-Verkabelung sieht eine regelmäßige Prüfung der IT-Verkabelung mit dem Ziel vor, zu deaktivierende und nicht mehr benötigte IT-Verkabelung zu entfernen. Eine Umsetzung der Anforderung steht aktuell noch aus.",Richtline zur IT- und Strom-Verkabelung ,IT-Betrieb
GB001 Verwaltungsgebäude Bad Godesberg,INF.4 IT-Verkabelung,INF.4.A8 Brandabschottung von Trassen,Standard,Ja,Die IT-Verkabelung ist von der Stromverkabelung getrennt. Die Brandabschottung der IT-Kabel entspricht den bautechnischen Vorgaben.,Richtline zur IT- und Strom-Verkabelung ,IT-Betrieb
